UKPRN,HE Provider,Afghanistan,Bangladesh,Bhutan,Brunei,Cambodia,China,East Timor,Hong Kong (Special Administrative Region of China),India,Indonesia,Japan,Kazakhstan,Korea (North),Korea (South),Kyrgyzstan,Laos,Macao (Special Administrative Region of China),Malaysia,Maldives,Myanmar (Burma),Mongolia,Nepal,Pakistan,Philippines,Singapore,Sri Lanka,Taiwan,Tajikistan,Thailand,Turkmenistan,Uzbekistan,Vietnam,Asia (Except Middle East) not otherwise specified,Total Asia,Total
10003854,Leeds Arts University,0,0,0,0,0,15,0,20,10,10,5,0,0,5,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,85,210
10003861,Leeds Beckett University,0,10,0,0,0,25,0,30,985,15,5,0,0,5,0,0,0,10,0,0,0,5,20,10,5,5,0,0,5,0,0,65,0,"1,205","2,275"
10003798,Le Cordon Bleu Limited,0,0,0,0,0,5,0,15,25,5,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,65,170
10034449,Leeds Conservatoire,0,0,0,0,0,20,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,150
10007795,The University of Leeds,0,35,0,10,0,"4,715",0,365,545,100,45,15,0,90,0,0,15,235,5,15,0,10,60,5,90,20,50,0,85,0,0,20,0,"6,540","10,455"
10003863,Leeds Trinity University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,90
10007796,The University of Leicester,0,15,0,30,0,"1,045",0,105,"1,175",15,10,0,0,5,0,0,0,40,5,5,0,5,45,0,20,10,10,0,15,0,0,0,0,"2,555","4,255"
10007151,The University of Lincoln,0,20,0,0,0,350,0,35,135,5,5,0,0,5,0,0,0,15,0,0,0,0,85,0,5,0,0,0,20,0,0,25,0,700,"1,285"
10003956,Liverpool Hope University,0,0,0,0,0,5,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,50,275
10003957,Liverpool John Moores University,0,20,0,5,0,65,0,10,300,5,5,0,0,10,0,0,0,35,0,0,0,20,40,5,5,15,0,0,5,0,0,5,0,550,"2,015"
10003945,The Liverpool Institute for Performing Arts,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20,190
10006842,The University of Liverpool,0,10,0,5,0,"4,250",0,155,360,30,15,10,0,40,0,0,5,175,5,5,5,0,45,10,30,10,30,0,35,0,0,15,0,"5,235","7,805"
10003958,Liverpool School of Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
10007162,"University of the Arts, London",0,10,0,0,0,"4,550",0,405,420,75,120,25,0,450,0,0,15,45,5,5,0,0,25,10,100,0,235,0,130,0,0,25,0,"6,660","11,230"
10007769,London Business School,0,5,0,0,0,175,0,30,200,10,70,5,0,30,0,0,0,10,0,0,0,0,5,5,45,0,20,0,15,0,0,10,0,640,"1,965"
10007797,University of London (Institutes and activities),5,105,0,0,0,115,0,45,130,35,15,10,0,20,0,0,0,135,0,10,0,5,520,0,330,40,15,0,5,0,0,15,0,"1,555","2,215"
10039082,City and Guilds of London Art School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10004036,London Film School Limited,0,0,0,0,0,105,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,150,275
10015506,The London College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
10004048,London Metropolitan University,0,5,0,0,0,35,0,10,120,0,0,0,0,10,0,0,0,10,0,0,0,10,10,5,5,5,0,0,0,0,0,0,0,230,"1,295"
10004078,London South Bank University,5,170,0,10,0,20,0,10,580,10,0,10,0,5,5,0,0,10,0,0,0,40,155,100,0,10,5,0,0,5,70,35,0,"1,255","2,685"
10004063,London School of Economics and Political Science,0,10,5,5,5,"2,215",0,355,425,60,60,20,0,150,0,0,10,330,0,5,5,5,100,20,375,20,65,0,80,0,0,30,0,"4,360","9,030"
10007771,London School of Hygiene and Tropical Medicine,0,0,0,0,0,10,0,25,15,0,5,0,0,5,0,0,0,5,0,0,0,0,5,0,5,0,5,0,5,0,0,0,0,95,530
10004075,London School of Theology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35
10004079,London Studio Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
10062810,The London School of Architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10008289,The London Institute of Banking & Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
10004035,The Film Education Training Trust Limited,0,0,0,0,0,5,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,105
10004113,Loughborough University,0,10,0,15,0,"1,125",0,175,375,20,20,10,0,50,0,0,0,95,5,0,0,0,20,10,45,40,20,0,30,0,0,10,0,"2,085","3,925"
10009612,Luther King House Educational Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10004180,The Manchester Metropolitan University,0,10,0,5,5,235,0,125,290,15,10,5,0,30,0,0,5,90,0,5,5,0,80,5,30,10,15,0,25,0,0,20,0,"1,025","2,785"
10007798,The University of Manchester,0,50,0,25,5,"8,605",0,430,610,135,65,35,0,175,5,0,35,685,20,25,5,0,115,10,165,25,115,0,105,0,10,35,0,"11,485","17,625"
10009527,Istituto Marangoni Limited,0,0,0,0,0,95,0,15,115,15,5,15,0,25,0,0,0,10,0,0,0,0,5,0,5,0,30,0,15,0,0,5,0,360,900
10023452,The Markfield Institute of Higher Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
