UKPRN,HE Provider,Bahrain,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Occupied Palestinian Territories {formerly West Bank (including East Jerusalem) and Gaza Strip},Oman,Qatar,Saudi Arabia,Syria,United Arab Emirates,Yemen,Middle East not otherwise specified,Total Middle East,Total
10030776,St Mellitus College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004320,The Metanoia Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10004351,Middlesex University,5,25,5,5,10,30,10,5,5,65,85,0,80,0,0,330,"4,600"
10032277,The Minster Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10049370,MLA College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10004450,Mountview Academy of Theatre Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
10023454,Moorlands College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
10000216,All Nations Christian College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
10004538,Nazarene Theological College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10023456,Newbold College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
10007799,Newcastle University,35,25,10,0,10,135,10,5,60,30,180,0,100,0,0,600,"6,215"
10048199,Northeastern University London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,130
10008397,Norland College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10007138,The University of Northampton,0,10,10,0,0,0,5,0,5,0,5,0,15,0,0,50,"4,465"
10001282,University of Northumbria at Newcastle,90,40,5,0,5,210,15,0,5,105,40,0,65,0,0,585,"8,010"
10004775,Norwich University of the Arts,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,185
10007154,University of Nottingham,40,30,20,0,70,215,10,5,65,25,290,0,170,0,0,950,"8,285"
10004797,The Nottingham Trent University,20,30,10,0,40,75,20,5,70,45,45,5,85,0,0,450,"6,595"
10007773,The Open University,0,0,0,0,0,5,0,0,0,0,5,0,15,0,0,35,430
10004930,Oxford Brookes University,5,15,0,5,10,5,10,5,10,20,20,0,55,0,0,155,"3,335"
10007774,The University of Oxford,10,10,0,35,15,10,20,0,5,10,45,0,90,0,0,255,"9,265"
10066143,Paris Dauphine International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
10005127,Arts University Plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
10007801,University of Plymouth,5,10,5,0,5,35,0,0,0,5,30,0,25,0,0,125,"2,355"
10019178,Point Blank Music School,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,190
10007155,The University of Portsmouth,30,15,5,0,30,175,5,0,40,365,75,0,55,0,0,795,"6,785"
10083476,The Prince's Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10005337,"Queen Margaret University, Edinburgh",0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,25,"1,185"
10007775,Queen Mary University of London,20,55,5,10,30,195,60,0,10,25,205,5,175,0,0,805,"8,935"
10009292,Royal Academy of Dramatic Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10005544,Royal Academy of Dance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
10005389,Ravensbourne University London,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,10,315
10005470,"Richmond, The American International University in London",5,0,0,0,5,0,5,0,0,0,0,0,5,0,0,15,465
10007802,The University of Reading,45,35,10,5,50,35,20,0,75,20,155,0,85,0,0,535,"3,925"
10086591,Regent's University London Limited,10,10,0,10,5,5,15,0,0,0,20,0,30,0,0,115,"1,445"
10021100,Regents Theological College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10062833,Raindance Educational Services Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10008455,Regent College London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
10005500,Robert Gordon University,5,15,10,0,0,10,5,0,15,5,5,0,20,0,0,85,"3,470"
10007776,Roehampton University,0,15,5,0,5,15,10,5,0,0,25,0,15,0,0,95,"3,685"
10005523,Rose Bruford College of Theatre and Performance,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,180
10007835,Royal Academy of Music,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,380
10005545,Royal Agricultural University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185
10007777,Royal College of Art,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,25,"1,880"
10007778,Royal College of Music,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,540
10005561,Royal Conservatoire of Scotland,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,385
10007816,The Royal Central School of Speech and Drama,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,10,290
10005553,Royal Holloway and Bedford New College,0,10,0,5,5,10,10,0,0,20,45,0,60,0,0,165,"2,610"
10007837,Royal Northern College of Music,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275
10007779,The Royal Veterinary College,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,15,755
10007803,The University of St. Andrews,5,10,5,5,5,5,5,5,5,5,15,0,65,0,0,130,"5,425"
10007839,SAE Education Limited,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,90
10007782,"St George's, University of London",0,5,0,0,0,0,0,0,0,0,5,0,10,0,0,25,285
10008026,St Mary's University College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10007843,"St Mary's University, Twickenham",0,5,0,0,0,0,0,0,0,5,0,0,10,0,0,25,945
10007156,The University of Salford,15,45,5,0,5,420,5,0,5,10,85,5,25,0,0,630,"4,325"
10007780,SOAS University of London,15,10,0,5,15,20,20,0,0,25,70,5,35,0,0,220,"2,130"
10005700,SRUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
10005790,Sheffield Hallam University,0,25,5,0,5,40,0,0,15,5,20,0,35,0,0,150,"5,205"
10007157,The University of Sheffield,15,30,5,5,25,80,15,5,45,25,275,5,160,0,0,700,"10,960"
10006022,Solent University,0,5,0,0,0,20,10,0,0,5,35,0,5,0,0,80,"2,305"
10007158,The University of Southampton,5,10,5,0,10,10,10,0,15,5,160,0,35,0,0,270,"8,635"
10006093,Spurgeon's College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10006299,Staffordshire University,0,10,0,0,0,20,0,0,5,0,5,0,10,0,0,45,770
10008098,Study Group,0,0,0,0,10,0,5,0,5,10,10,5,10,0,0,55,"3,040"
10007804,The University of Stirling,5,5,0,0,5,10,5,0,15,5,20,0,30,0,0,100,"4,235"
10037449,University of St Mark and St John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
10008010,Stranmillis University College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
10007805,The University of Strathclyde,15,20,15,5,35,110,5,0,160,45,150,0,100,0,0,655,"5,305"
10014001,University of Suffolk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"1,345"
10007159,The University of Sunderland,5,10,10,0,80,215,35,0,5,5,25,0,10,5,0,405,"4,990"
10007160,The University of Surrey,20,45,10,0,25,20,15,5,10,15,50,5,80,0,0,295,"3,910"
10007806,The University of Sussex,35,35,5,5,80,40,10,10,15,40,155,10,115,0,0,560,"5,725"
10007855,Swansea University,15,15,10,0,20,105,5,0,70,95,135,0,35,0,0,510,"4,270"
10083403,The Engineering and Design Institute London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007161,Teesside University,5,25,5,0,5,5,0,0,0,5,10,0,10,0,0,75,"6,125"
10008017,Trinity Laban Conservatoire of Music and Dance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,390
10007858,University of Wales Trinity Saint David,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,910
10068157,University Centre Peterborough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10007114,University of the Highlands and Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,320
10007807,Ulster University,5,40,5,0,5,5,10,0,0,5,15,5,20,0,0,115,"7,160"
10039956,The University of Law,20,5,0,0,5,0,5,0,5,0,10,0,50,0,0,105,"1,945"
10007784,University College London,20,80,10,30,30,55,85,5,20,35,205,5,215,0,0,790,"24,145"
10007793,University of South Wales,10,5,5,5,5,65,0,0,35,25,50,0,30,5,0,245,"4,425"
10007163,The University of Warwick,15,30,5,0,15,10,30,0,20,20,65,15,215,0,0,440,"11,065"
10007361,Waverley Abbey College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10007164,"University of the West of England, Bristol",15,35,10,5,85,40,10,0,40,195,165,5,85,0,0,685,"7,895"
10007800,The University of the West of Scotland,0,10,0,0,0,0,5,0,0,0,0,0,5,0,0,25,"5,050"
10032288,West Dean College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10006566,The University of West London,0,15,0,0,5,5,10,0,0,5,5,0,10,0,0,55,"3,990"
10007165,The University of Westminster,35,55,5,10,25,60,35,10,15,30,70,5,85,0,0,435,"7,035"
10003614,The University of Winchester,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,10,535
10007166,The University of Wolverhampton,0,0,5,0,0,0,0,0,0,5,10,0,10,0,0,25,"1,935"
10007139,University of Worcester,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,985
10007833,Wrexham University,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,25,"1,375"
10007657,Writtle University College,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,50
10007713,York St John University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"1,355"
10007167,The University of York,10,10,0,0,15,10,5,0,15,5,75,0,50,0,0,200,"5,905"
,Total,"1,445","2,320",625,540,"1,880","6,630","1,540",245,"2,390","2,900","8,745",220,"8,080",75,0,"37,635","675,200"
