UKPRN,HE Provider,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde,Central African Republic,Chad,Comoros,Congo,Congo (Democratic Republic) {formerly Zaire},Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Ivory Coast,Kenya,Kingdom of eSwatini,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome And Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,"St Helena, Ascension and Tristan da Cunha",Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Western Sahara,Zambia,Zimbabwe,Africa not otherwise specified,Total Africa,Total
10007848,University of Chester,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,30,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,315,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,400,"1,805"
10007137,The University of Chichester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,300
10001546,The College of Integrated Chinese Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10001419,Christie's Education Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
10001478,"City, University of London",15,10,0,5,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,5,0,0,5,50,0,0,0,0,0,0,0,0,40,60,0,0,0,40,5,0,0,5,0,0,25,0,0,5,0,10,0,20,0,0,5,0,0,360,"6,740"
10007912,Cliff College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10066502,The College of Health Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
10001653,Conservatoire for Dance and Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350
10081618,The Council of the Inns of Court,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007761,Courtauld Institute of Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230
10034324,Court Theatre Training Company Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10001726,Coventry University,30,25,0,10,0,0,30,0,0,0,0,0,5,0,105,0,0,5,0,0,90,0,0,5,115,0,0,0,5,0,5,0,0,5,65,0,0,0,935,0,0,0,0,5,0,30,0,0,10,0,55,0,0,25,0,20,25,0,"1,620","13,770"
10007822,Cranfield University,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,15,0,0,0,10,0,0,0,20,0,5,0,0,5,5,0,0,0,115,5,0,0,0,0,0,15,0,0,0,0,5,0,5,5,0,5,5,0,230,"2,160"
10006427,University for the Creative Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,50,"2,125"
10007842,University of Cumbria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,275
10026767,Dartington Hall Trust (The),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,60
10001883,De Montfort University,10,0,0,5,0,0,20,0,0,0,0,0,0,0,50,0,0,5,0,0,30,0,0,5,25,0,0,0,5,0,0,0,0,0,15,5,0,0,355,0,0,0,0,0,0,5,0,0,5,0,10,0,0,5,0,5,30,0,600,"6,170"
10007851,University of Derby,0,5,0,5,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,40,0,0,0,15,0,0,0,0,0,5,0,0,5,5,0,0,5,305,0,0,0,0,0,0,10,0,0,0,0,5,0,0,5,0,10,50,0,500,"2,235"
10007852,The University of Dundee,0,0,0,5,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,5,20,0,0,5,30,0,0,0,10,0,5,0,0,0,0,5,5,0,160,5,0,0,0,0,0,5,0,0,0,0,5,0,0,10,0,5,10,0,315,"3,055"
10007143,University of Durham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,25,0,0,0,5,0,0,0,0,5,5,0,0,0,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,15,0,185,"6,180"
