UKPRN,HE Provider,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,South America not otherwise specified,Total South America,Total
10007839,SAE Education Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
10007782,"St George's, University of London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
10008026,St Mary's University College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10007843,"St Mary's University, Twickenham",0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,945
10007156,The University of Salford,0,0,5,0,0,0,0,0,0,5,0,0,0,0,15,"4,325"
10007780,SOAS University of London,0,0,5,0,0,0,0,0,0,5,0,0,0,0,10,"2,130"
10005700,SRUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
10005790,Sheffield Hallam University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"5,205"
10007157,The University of Sheffield,5,5,10,15,10,5,0,0,5,25,0,0,0,0,75,"10,960"
10006022,Solent University,0,0,5,0,5,0,0,0,0,5,0,0,0,0,15,"2,305"
10007158,The University of Southampton,0,0,10,15,5,5,0,0,0,5,0,5,0,0,50,"8,635"
10006093,Spurgeon's College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10006299,Staffordshire University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770
10008098,Study Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"3,040"
10007804,The University of Stirling,0,0,5,5,5,0,0,0,0,5,0,0,0,0,20,"4,235"
10037449,University of St Mark and St John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
10008010,Stranmillis University College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
10007805,The University of Strathclyde,5,0,15,5,5,5,0,5,5,5,0,0,0,0,55,"5,305"
10014001,University of Suffolk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,345"
10007159,The University of Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,990"
10007160,The University of Surrey,0,0,10,0,0,0,0,0,0,10,0,0,5,0,30,"3,910"
10007806,The University of Sussex,0,5,25,20,20,0,0,5,0,25,0,0,0,0,105,"5,725"
10007855,Swansea University,0,0,5,0,5,0,0,0,0,5,0,0,0,0,20,"4,270"
10083403,The Engineering and Design Institute London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007161,Teesside University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"6,125"
10008017,Trinity Laban Conservatoire of Music and Dance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390
10007858,University of Wales Trinity Saint David,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,910
10068157,University Centre Peterborough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10007114,University of the Highlands and Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,320
10007807,Ulster University,0,0,5,0,5,0,0,0,0,0,0,0,0,0,10,"7,160"
10039956,The University of Law,0,0,5,0,0,0,0,0,0,5,0,0,0,0,10,"1,945"
10007784,University College London,20,5,60,120,55,10,0,0,5,30,0,0,5,0,310,"24,145"
10007793,University of South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"4,425"
10007163,The University of Warwick,5,5,20,25,20,0,0,0,5,15,0,5,0,0,105,"11,065"
10007361,Waverley Abbey College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10007164,"University of the West of England, Bristol",0,0,10,5,5,15,0,0,0,10,0,0,5,0,45,"7,895"
10007800,The University of the West of Scotland,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,"5,050"
10032288,West Dean College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10006566,The University of West London,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,"3,990"
10007165,The University of Westminster,0,0,35,5,15,10,0,0,0,5,0,0,5,0,75,"7,035"
10003614,The University of Winchester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535
10007166,The University of Wolverhampton,0,0,5,0,5,0,0,0,0,0,0,0,0,0,10,"1,935"
10007139,University of Worcester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985
10007833,Wrexham University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,375"
10007657,Writtle University College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
10007713,York St John University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,355"
10007167,The University of York,0,0,15,10,15,0,0,0,0,10,0,0,0,0,60,"5,905"
,Total,305,100,"1,450",860,870,350,35,80,85,835,10,80,130,0,"5,190","675,200"
