ukprn,he_provider,year,country,students,school_lat,school_lon
10007854.0,Cardiff Metropolitan University,2020/2021,bulgaria,5,51.4960947,-3.2127615385866655
10001478.0,"City, University of London",2020/2021,bulgaria,85,51.527658200000005,-0.10352447335648303
10001726.0,Coventry University,2020/2021,bulgaria,250,52.4056372,-1.4997222676795412
10006427.0,University for the Creative Arts,2020/2021,bulgaria,35,51.2162625,-0.8060567021382656
10001883.0,De Montfort University,2020/2021,bulgaria,65,52.63047175,-1.1402281049813487
10007851.0,University of Derby,2020/2021,bulgaria,5,52.937954700000006,-1.497999105195924
10007852.0,The University of Dundee,2020/2021,bulgaria,80,56.45796755,-2.9821483135375493
10007143.0,University of Durham,2020/2021,bulgaria,15,54.7743725,-1.5766714
10007789.0,The University of East Anglia,2020/2021,bulgaria,20,52.62106225,1.2356187242525833
10007144.0,The University of East London,2020/2021,bulgaria,10,51.5075713,0.0641476
10007772.0,Edinburgh Napier University,2020/2021,bulgaria,70,55.93110635,-3.2093902303057424
10007790.0,The University of Edinburgh,2020/2021,bulgaria,50,55.948366449999995,-3.185681320007981
10007791.0,The University of Essex,2020/2021,bulgaria,80,51.538100850000006,0.7123974191663069
10008640.0,Falmouth University,2020/2021,bulgaria,50,50.1489643,-5.07044720681594
10007762.0,Glasgow Caledonian University,2020/2021,bulgaria,95,55.86746635,-4.250245389417843
10002681.0,Glasgow School of Art,2020/2021,bulgaria,5,55.8663077,-4.263900066705968
10007794.0,The University of Glasgow,2020/2021,bulgaria,80,55.873419049999995,-4.289052856658881
10007145.0,University of Gloucestershire,2020/2021,bulgaria,5,51.8731804,-2.2239706215311656
10002718.0,Goldsmiths College,2020/2021,bulgaria,10,51.473283949999995,-0.03662674755260884
10007825.0,Guildhall School of Music and Drama,2020/2021,bulgaria,10,51.5195225,-0.09237473454516612
10007764.0,Heriot-Watt University,2020/2021,bulgaria,15,55.91029585,-3.323447514558347
10007147.0,University of Hertfordshire,2020/2021,bulgaria,25,51.75174425,-0.23904979445944738
10007149.0,The University of Hull,2020/2021,bulgaria,10,53.773250649999994,-0.3670415117318655
10035638.0,Institute of Contemporary Music Performance,2020/2021,bulgaria,10,51.544477650000005,-0.20232179784067766
10007767.0,Keele University,2020/2021,bulgaria,5,53.0016756,-2.270694218876779
10007150.0,The University of Kent,2020/2021,bulgaria,30,51.29508745,1.0673312821552285
10003645.0,King's College London,2020/2021,bulgaria,140,51.50308545,-0.09000212114826903
10003678.0,Kingston University,2020/2021,bulgaria,20,51.403073899999995,-0.3032181426130893
10007768.0,The University of Lancaster,2020/2021,bulgaria,130,54.009842899999995,-2.787576781958986
10003861.0,Leeds Beckett University,2020/2021,bulgaria,5,53.826144150000005,-1.5933537200236456
10007795.0,The University of Leeds,2020/2021,bulgaria,135,53.8430407,-1.58866989583375
10007796.0,The University of Leicester,2020/2021,bulgaria,20,52.608264899999995,-1.081000558579433
10003956.0,Liverpool Hope University,2020/2021,bulgaria,5,53.412914799999996,-2.968953655934631
10003957.0,Liverpool John Moores University,2020/2021,bulgaria,5,53.41238439999999,-2.980926958955171
10007162.0,"University of the Arts, London",2020/2021,bulgaria,60,51.51768525,-0.11633584389344499
10004048.0,London Metropolitan University,2020/2021,bulgaria,15,51.517382299999994,-0.08834959925816331
10004078.0,London South Bank University,2020/2021,bulgaria,45,51.497703200000004,-0.10180887720295356
10004063.0,London School of Economics and Political Science,2020/2021,bulgaria,20,51.51459765,-0.11642199104621423
10004113.0,Loughborough University,2020/2021,bulgaria,45,52.763845,-1.237258153986855
10007798.0,The University of Manchester,2020/2021,bulgaria,175,51.57236815,-1.3114536688023473
10004351.0,Middlesex University,2020/2021,bulgaria,65,51.65912265,-0.13334151025218616
10007799.0,Newcastle University,2020/2021,bulgaria,50,54.98017505,-1.6146802127187847
10048199.0,Northeastern University London,2020/2021,bulgaria,5,51.5061905,-0.0715902
10004775.0,Norwich University of the Arts,2020/2021,bulgaria,5,52.63062395,1.295000721697714
10007154.0,University of Nottingham,2020/2021,bulgaria,40,52.9387428,-1.2002956927457427
10004797.0,The Nottingham Trent University,2020/2021,bulgaria,50,52.95814555,-1.1545502016035694
10004930.0,Oxford Brookes University,2020/2021,bulgaria,25,51.755223,-1.2301040395972822
10007774.0,The University of Oxford,2020/2021,bulgaria,60,51.765921399999996,-1.2631250075112073
10007801.0,University of Plymouth,2020/2021,bulgaria,10,50.3757001,-4.139378575455437
10007155.0,The University of Portsmouth,2020/2021,bulgaria,125,50.7938881,-1.0978796
10007775.0,Queen Mary University of London,2020/2021,bulgaria,45,51.52471385,-0.03931044284306251
10005389.0,Ravensbourne University London,2020/2021,bulgaria,10,51.50165815,0.005704460486348751
10007802.0,The University of Reading,2020/2021,bulgaria,65,56.4650368,-2.961257790665237
10005500.0,Robert Gordon University,2020/2021,bulgaria,100,57.1187364,-2.139306576766816
10007776.0,Roehampton University,2020/2021,bulgaria,15,51.4485315,-0.24401071122664614
10007835.0,Royal Academy of Music,2020/2021,bulgaria,5,51.52346355,-0.15186193316208124
10007777.0,Royal College of Art,2020/2021,bulgaria,10,51.4792809,-0.17045508721674918
10007778.0,Royal College of Music,2020/2021,bulgaria,5,51.499477600000006,-0.17710071827517998
10007816.0,The Royal Central School of Speech and Drama,2020/2021,bulgaria,5,51.54430755,-0.1741025801918736
10005553.0,Royal Holloway and Bedford New College,2020/2021,bulgaria,40,51.424449550000006,-0.5642561069587715
10007803.0,The University of St. Andrews,2020/2021,bulgaria,20,56.3429876,-2.7939691452666806
10007843.0,"St Mary's University, Twickenham",2020/2021,bulgaria,5,51.4371611,-0.3361972
10007156.0,The University of Salford,2020/2021,bulgaria,25,53.48650835,-2.2638280058838722
10007780.0,SOAS University of London,2020/2021,bulgaria,10,51.5218979,-0.1288676341954016
10005790.0,Sheffield Hallam University,2020/2021,bulgaria,15,53.38172635,-1.462795139475161
10007157.0,The University of Sheffield,2020/2021,bulgaria,65,53.3806759,-1.4840345
10006022.0,Solent University,2020/2021,bulgaria,90,50.9086815,-1.4005162611321633
10006299.0,Staffordshire University,2020/2021,bulgaria,5,53.009474749999995,-2.1742692248780635
10007805.0,The University of Strathclyde,2020/2021,bulgaria,90,55.8618812,-4.241956565778082
10014001.0,University of Suffolk,2020/2021,bulgaria,100,52.05192825,1.1640592563471208
10007159.0,The University of Sunderland,2020/2021,bulgaria,45,54.912210900000005,-1.375076642822353
10007160.0,The University of Surrey,2020/2021,bulgaria,140,51.24307815,-0.5900544877514773
10007855.0,Swansea University,2020/2021,bulgaria,35,51.6080596,-3.9773969
10007161.0,Teesside University,2020/2021,bulgaria,5,54.5695266,-1.2355444297582996
10007858.0,University of Wales Trinity Saint David,2020/2021,bulgaria,55,52.11313185,-4.075201674546898
10007807.0,Ulster University,2020/2021,bulgaria,5,54.604374,-5.929176
10039956.0,The University of Law,2020/2021,bulgaria,5,51.520537000000004,-0.13173725942856418
10007784.0,University College London,2020/2021,bulgaria,140,51.52420305,-0.13300072425929543
10007793.0,University of South Wales,2020/2021,bulgaria,30,51.5860894,-2.990616
10007164.0,"University of the West of England, Bristol",2020/2021,bulgaria,90,51.50076785,-2.5503106339491204
10007800.0,The University of the West of Scotland,2020/2021,bulgaria,45,56.458393599999994,-2.97443952793637
10006566.0,The University of West London,2020/2021,bulgaria,95,51.5070185,-0.3028075365414086
10007165.0,The University of Westminster,2020/2021,bulgaria,130,51.5168987,-0.14330516808711596
10007166.0,The University of Wolverhampton,2020/2021,bulgaria,5,52.5719739,-1.9699298
10007713.0,York St John University,2020/2021,bulgaria,5,53.9653269,-1.0806968459195583
10007783.0,The University of Aberdeen,2020/2021,canary_islands,5,57.1639306,-2.100875776271873
10007140.0,Birmingham City University,2020/2021,canary_islands,5,52.4822706,-1.8888147987150585
10000824.0,Bournemouth University,2020/2021,canary_islands,5,50.7226231,-1.8641233438403426
10007786.0,The University of Bristol,2020/2021,canary_islands,5,51.50076785,-2.5503106339491204
10000961.0,Brunel University London,2020/2021,canary_islands,5,51.5326092,-0.47404989072672915
10007814.0,Cardiff University,2020/2021,canary_islands,5,51.4886911,-3.1794825
10001726.0,Coventry University,2020/2021,canary_islands,5,52.4056372,-1.4997222676795412
10007772.0,Edinburgh Napier University,2020/2021,canary_islands,5,55.93110635,-3.2093902303057424
