ukprn,he_provider,year,country,students
10007140,Birmingham City University,2020/2021,bulgaria,40
10006840,The University of Birmingham,2020/2021,bulgaria,45
10000712,University College Birmingham,2020/2021,bulgaria,30
10004061,Bloomsbury Institute,2020/2021,bulgaria,5
10006841,The University of Bolton,2020/2021,bulgaria,20
10000385,The Arts University Bournemouth,2020/2021,bulgaria,40
10000824,Bournemouth University,2020/2021,bulgaria,65
10031982,BPP University,2020/2021,bulgaria,5
10007785,The University of Bradford,2020/2021,bulgaria,10
10000886,The University of Brighton,2020/2021,bulgaria,20
10007786,The University of Bristol,2020/2021,bulgaria,30
10000961,Brunel University London,2020/2021,bulgaria,25
10000975,Buckinghamshire New University,2020/2021,bulgaria,25
10007787,The University of Buckingham,2020/2021,bulgaria,5
10010308,Cambridge Arts and Sciences Limited,2020/2021,bulgaria,5
10007788,The University of Cambridge,2020/2021,bulgaria,45
10001143,Canterbury Christ Church University,2020/2021,bulgaria,30
10007814,Cardiff University,2020/2021,bulgaria,85
10007854,Cardiff Metropolitan University,2020/2021,bulgaria,5
10007141,The University of Central Lancashire,2020/2021,bulgaria,15
10001478,"City, University of London",2020/2021,bulgaria,85
10001726,Coventry University,2020/2021,bulgaria,250
10006427,University for the Creative Arts,2020/2021,bulgaria,35
10001883,De Montfort University,2020/2021,bulgaria,65
10007851,University of Derby,2020/2021,bulgaria,5
10007852,The University of Dundee,2020/2021,bulgaria,80
10007143,University of Durham,2020/2021,bulgaria,15
10007789,The University of East Anglia,2020/2021,bulgaria,20
10007144,The University of East London,2020/2021,bulgaria,10
10007772,Edinburgh Napier University,2020/2021,bulgaria,70
10007790,The University of Edinburgh,2020/2021,bulgaria,50
10007791,The University of Essex,2020/2021,bulgaria,80
10007792,The University of Exeter,2020/2021,bulgaria,25
10008640,Falmouth University,2020/2021,bulgaria,50
10007762,Glasgow Caledonian University,2020/2021,bulgaria,95
10002681,Glasgow School of Art,2020/2021,bulgaria,5
10007794,The University of Glasgow,2020/2021,bulgaria,80
10007145,University of Gloucestershire,2020/2021,bulgaria,5
10002718,Goldsmiths College,2020/2021,bulgaria,10
10007146,The University of Greenwich,2020/2021,bulgaria,150
